JobNumber,JobGroupNumber,JobClassNumber,OrgScope,JobNameAr,JobNameEn
1285,283,3,1,أخصائي تقييم طلبة,Students Evaluation Specialist
50307,283,3,1,أخصائي تقييم طلبة,أخصائي تقييم طلبة
1284,283,3,1,أخصائي تقييم طلبة أول,1st Students Evaluation Specialist
3551,283,4,1,أخصائي تقييم طلبة تربية إسلامية اول,Senior Student Assessment Specialist - Islamic Education
1282,283,3,1,أخصائي تقييم طلبة ثالث,3rd Students Evaluation Specialist
1283,283,3,1,أخصائي تقييم طلبة ثاني,2nd Students Evaluation Specialist
3552,283,4,1,أخصائي تقييم طلبة لغة عربية,Student Assessment Specialist - Arabic
1849,283,3,1,أخصائي تقييم مادة,Subject Evaluation Specialist
1848,283,3,1,أخصائي تقييم مادة أول,1st Subject Evaluation Specialist
1847,283,3,1,أخصائي تقييم مادة ثاني,2nd Subject Evaluation Specialist
1362,283,3,1,أخصائي تقييم مدارس,Schools Evaluation Specialist
1361,283,3,1,أخصائي تقييم مدارس أول,Senior School Evaluation Specialist
1359,283,3,1,أخصائي تقييم مدارس ثالث,3rd Schools Evaluation Specialist
1360,283,3,1,أخصائي تقييم مدارس ثاني,2nd Schools Evaluation Specialist
50306,283,3,1,أخصائي تقييم مدارس حكومية وخاصة,أخصائي تقييم مدارس حكومية وخاصة
3227,263,3,1,أخصائي تكلفة تقديرية أول,Senior Cost Estmation Specialist
1856,283,3,1,أخصائي تنسيق خدمات,Service Coordination Specialist
4191,283,3,1,أخصائي تنسيق خدمات اول,Senior Services Specialist
3468,283,,1,أخصائي تنفيذي,Executive Specialist
4103,283,3,1,أخصائي تنفيذي أول,Senior Executive Specialist
3770,283,4,1,أخصائي توجية إدارة اعمال,Business Administration Supervision Specialist
3553,283,4,1,أخصائي توجية فنون بصرية ومسرح,Visual Literary and Drama Supervision Specialist
4280,283,5,2,أخصائي توجيه  رياضيات أول,Senior Mathematics Supervision Specialist
4212,113,3,1,أخصائي توجيه أحياء,Supervision Specialist(Biology)
3554,283,4,1,أخصائي توجيه تربوي أول,Senior Education Supervision Specialist
3652,283,4,1,أخصائي توجيه تربية إسلامية,Islamic Education Supervision Specialist
3555,283,4,1,أخصائي توجيه تربية إسلامية أول,Senior Islamic Education Supervision Specialist
3556,283,4,1,أخصائي توجيه تربية بدنية,Physical Education Supervision Specialist
3557,283,4,1,أخصائي توجيه تربية بدنية أول,Senior Physical Education Supervision Specialist
3627,283,4,1,أخصائي توجيه تربية خاصة,Special Education Supervision Specialist
3558,283,4,1,أخصائي توجيه تربية خاصة أول,Senoir Special Education Supervision Specialist
4286,283,5,2,أخصائي توجيه تربية رياضية,Physical Education Supervision Specialist
4287,283,5,2,أخصائي توجيه تربية رياضية أول,Senior Physical Education Supervision Specialist
4885,113,2,1,أخصائي توجيه تعليم مبكر لغة انجليزية,English Language Early Years Education Supervision Specialist
4281,283,5,2,أخصائي توجيه تكنولوجيا معلومات,Information Technology Supervision Specialist
4282,283,5,2,أخصائي توجيه تكنولوجيا معلومات أول,Senior Information Technology Supervision Specialist
4284,283,5,2,أخصائي توجيه دراسات اجتماعية,Social Studies Supervision Specialist
4285,283,5,2,أخصائي توجيه دراسات اجتماعية أول,Senior Social Studies Supervision Specialist
4192,283,3,1,أخصائي توجيه رياض أطفال,Kindergarten Supervision Specialist
3629,283,4,1,أخصائي توجيه رياض أطفال أول,Senior Kindergarten Supervision Specialist
4872,283,2,1,أخصائي توجيه رياض أطفال أول,Senior kindergarten Supervision Specialist
4215,113,3,1,أخصائي توجيه رياضيات,Supervision Specialist(Mathematics)
3630,283,4,1,أخصائي توجيه علوم,Science Supervision Specialist
3632,283,4,1,أخصائي توجيه فنون بصرية أول,Senior Visual Arts Supervision Specialist
4288,283,5,2,أخصائي توجيه فنون بصرية ومسرح أول,Senior Visual Arts and Theater Supervision Specialist
4213,113,3,1,أخصائي توجيه فيزياء,Supervision Specialist(Physics)
4214,113,3,1,أخصائي توجيه كيمياء,Supervision Specialist(Chemistry)
4283,283,5,2,أخصائي توجيه كيمياء,Chemistry Supervision Specialist
4211,113,3,1,أخصائي توجيه لغة إنجليزية,Supervision Specialist(English Language)
4134,283,3,1,أخصائي توجيه لغة عربية,Arabic Language Supervision Specialist
3639,283,3,1,أخصائي توجيه مصادر تعلم أول,Senior Learning Sources Supervision Specialist
3560,283,4,1,أخصائي توجيه مناهج أول,Senior Curriculum Supervision Specialist
3633,283,4,1,أخصائي توجيه مناهج مختبرات مدرسية أول,Senior School Lab Curriculum Supervision Specialist
3625,283,4,1,أخصائي توجيه  علوم أول,Senior Science Supervision Specialist
3626,283,4,1,أخصائي توجيه  لغة انجليزية أول,Senior English Supervision Specialist
3748,283,3,1,أخصائي جودة البرمجيات,Software Quality Specialist
3715,283,3,1,أخصائي خدمات,Services Specialist
4260,283,3,1,أخصائي خدمة جمهور أول,Senior Customer Service Specialist
1300,283,3,1,أخصائي دراسات دولية,International Studies Specialist
1301,283,3,1,أخصائي دراسات دولية أول,Senior International Studies Specialist
3276,283,3,1,أخصائي دعم اضافي( اسرى ),Additional Education Support Specialist (family).
4267,283,3,1,أخصائي دور حضانة أول,Senior Nurseries Specialist
1367,283,3,1,أخصائي رخص مهنية,Professional Licensing Specialist
1366,283,3,1,أخصائي رخص مهنية أول,1st Professional Licensing Specialist
1364,283,3,1,أخصائي رخص مهنية ثالث,3rd Professional Licensing Specialist
1365,283,3,1,أخصائي رخص مهنية ثاني,2nd Professional Licensing Specialist
4105,283,3,1,أخصائي رياض أطفال أول,Senior Kindergarten Specialist
3286,283,,1,أخصائي رياض اطفال,Kindergarten Specialist
1240,283,3,1,أخصائي سكرتارية أول,Senior Secretarial Specialist
1239,283,3,2,أخصائي سكرتارية تنفيذية,Secretarial Specialist
3348,28,5,3,أخصائي سمعيات,Audiologist
1244,283,3,3,أخصائي شؤون إدارية,Administrative Affairs Specialist
1245,283,3,1,أخصائي شؤون إدارية أول,Senior Administrative Affairs Specialist
2220,283,3,1,أخصائي شؤون استقبال,Reception Affairs Specialist
4201,283,3,1,أخصائي شؤون خدمة الجمهور,Public Service Specialist
2542,283,3,1,أخصائي شؤون دولية,International Affaires Specialist
2187,283,3,1,أخصائي شؤون فنية,Technical Affairs Specialist
3290,283,,1,أخصائي شؤون فنية ( معادلة الشهادات الجامعية ),Technical Affairs Specialist (University Degrees Equivilency)
2188,283,3,1,أخصائي شؤون فنية أول,Senior Technical Affairs Specialist
3518,283,3,1,أخصائي شؤون مؤسسات التعليم العالي أول,1st Higher Education Institutions Affairs Specialist
1249,263,3,1,أخصائي شؤون مالية,Financial Affairs Specialist
1250,263,3,1,أخصائي شؤون مالية أول,Senior Financial Affairs Specialist
3169,283,,1,أخصائي شؤون مدارس,School Affairs Specialist
4264,283,3,1,أخصائي شؤون موارد بشرية,Human Resources Affairs Specialist
3644,237,5,2,أخصائي شؤون موظفين,Personnel Affairs specialist
3645,237,5,2,أخصائي شؤون موظفين اول,1st Personnel Affairs specialist
1500,283,3,1,أخصائي شئون منظمات,Organization Affairs Specialist
3650,63,,1,أخصائي شبكات أول,Senior Network Specalist
3236,283,,1,أخصائي صحة وسلامة,Health and Safety Specialist
2873,283,3,1,أخصائي صحة وسلامة أول,Health and Safety Specialist
3299,283,3,1,أخصائي ضمان الجودة,Quality Assurance Specialist
1917,283,3,1,أخصائي طلبات وتحقق,Application specialist
858,293,5,2,أخصائي علاج طبيعي,Physiotherapist
2519,283,5,2,أخصائي علاج وظيفي,Occupational Therapist
2839,283,3,1,أخصائي علاج وظيفي أول,1st Occupational Therapist
1789,163,3,1,أخصائي علاقات عامة,Public Relations Specialist
1790,163,3,1,أخصائي علاقات عامة أول,Senior Public Relations Specialist
3256,283,3,1,أخصائي علوم أول,First Science Specialist
3958,283,3,2,أخصائي قاعدة بيانات أول,Senior Database Specialist
855,283,3,1,أخصائي قانوني,Legal Specialist
1343,53,3,1,أخصائي قانوني,Legal Specialist
1344,53,3,1,أخصائي قانوني أول,Senior Legal Specialist
847,67,5,2,أخصائي قياس سمع,Audiologist
3736,283,3,1,أخصائي كمبيوتر,Computer Specialist
4196,283,3,1,أخصائي مخازن,Warehouse Specialist
4197,283,3,1,أخصائي مخازن أول,Senior Warehouse Specialist
3740,283,3,1,أخصائي مخاطر مؤسسية,Institutional Risk Management Specialist
3092,283,3,1,أخصائي مختبرات علوم أول,First Science Laboratory Specialist
4094,283,3,1,أخصائي مدارس حكومية,Government Schools Specialist
1747,283,3,1,أخصائي مدارس خاصة,Private Schools Specialist
1748,283,3,1,أخصائي مدارس خاصة أول,1st Private Schools Specialist
3136,283,3,1,أخصائي مدارس خاصة ثاني,2st Private Schools Specialist
1378,283,3,1,أخصائي مدارس مستقلة أول,1st Independent Schools Specialist
3167,283,3,1,أخصائي مدارس مستقلة ثالث,3st Independent School Specialist
1896,283,3,1,أخصائي مراكز تدريبية وتعليمية,Training and Educational Centers Licenses Specialist
1897,283,3,1,أخصائي مراكز تدريبية وتعليمية أول,Senior Training and Educational Centers Licenses Specialist
3959,283,,2,أخصائي مشاريع,Project Specialist
4278,283,3,1,أخصائي مشاريع البنية التحتية,Infrastructure Project Specialist
2552,63,3,1,أخصائي مشاريع تعليم إلكتروني,Specialist E-learning projects
4104,283,3,1,أخصائي مشاريع تعليم إلكتروني أول,Senior E-learning Project Specialist
3204,283,3,1,أخصائي مشاريع ثالث,Third Project Specialist
2029,263,3,1,أخصائي مشتريات,Purchasing Specialist
2030,283,3,1,أخصائي مشتريات أول,Senior Purchasing Specialist
2201,283,3,1,أخصائي مصادر تعلم,Learning Resources Specialist
2202,283,3,1,أخصائي مصادر تعلم أول,Senior Learning Resources Specialist
2893,283,3,1,أخصائي مصادر تعلم ثالث,3rd Learning Resources Specialist
1383,283,3,1,أخصائي معايير التربية الرياضية,Physical Education Standards Specialist
1384,283,3,1,أخصائي معايير التربية الرياضية أول,Senior Physical Education Standards Specialist
1385,283,3,2,أخصائي معايير الرياضيات,Mathematics Standards Specialist
1386,283,3,1,أخصائي معايير الرياضيات أول,Senior Mathematics Standards Specialist
1387,283,3,1,أخصائي معايير العلوم الاجتماعية,Social Studies Standards Specialist
1388,283,3,1,أخصائي معايير العلوم الاجتماعية أول,Senior Social Studies Standards Specialist
1395,283,3,1,أخصائي معايير اللغة الانجليزية,English Language Standards Specialist
1396,283,3,2,أخصائي معايير اللغة الانجليزية أول,Senior English Language Standards Specialist
1389,283,3,2,أخصائي معايير اللغة العربية,Arabic Language Standards Specialist
1390,283,3,2,أخصائي معايير اللغة العربية أول,Senior Arabic Language Standards Specialist
3199,283,3,1,أخصائي معايير تربية بصرية,Visual Education Standards Specialist
3198,283,,1,أخصائي معايير تربية بصرية أول,First Visual Education Standards Specialist
1391,63,3,1,أخصائي معايير تكنولوجيا المعلومات,IT Standards Specialist
1392,63,3,1,أخصائي معايير تكنولوجيا المعلومات أول,Senior IT Standards Specialist
2454,113,3,1,أخصائي معايير دعم تعليمي إضافي,Additional Education Support Standards Specialist
1393,283,3,1,أخصائي معايير علوم,Science Standards Specialist
1394,283,3,1,أخصائي معايير علوم أول,Senior Science Standards Specialist
1727,283,3,1,أخصائي معايير علوم اجتماعية ثاني,2nd Social Sciences Standards Researcher
1381,283,3,1,أخصائي معايير علوم اسلامية,Islamic Studies Standards Specialist
1382,283,3,1,أخصائي معايير علوم اسلامية أول,Senior Islamic Studies Standards Specialist
2892,283,3,1,أخصائي معايير لغة عربية ثاني,2nd Arabic Curriculum Standards Specialist
1310,283,3,1,أخصائي مناهج,Curriculum Specialist
3693,283,4,1,أخصائي مناهج أحياء,Biology curriculum specialist
4110,283,3,1,أخصائي مناهج أحياء أول,Senior Biology Curriculum Specialist
1311,283,3,1,أخصائي مناهج أول,Senior Curriculum Specialist
3694,283,4,1,أخصائي مناهج تربية إسلامية,Islamic Studies curriculum specialist
3695,283,4,1,أخصائي مناهج تكنولوجيا معلومات,Information Technology Curriculum specialist
3696,283,4,1,أخصائي مناهج طفولة مبكرة /علمي,Early childhood curriculum specialist / science track
3697,283,4,1,أخصائي مناهج فيزياء,Physics  Curriculum specialist
3698,283,4,1,أخصائي مناهج كيمياء,Chemistry Curriculum specialist
3699,283,4,1,أخصائي مناهج لغة إنجليزية,English Curriculum specialist
4109,283,3,1,أخصائي مناهج لغة إنجليزية أول,Senior English Language Curriculum Specialist
3700,283,4,1,أخصائي مناهج لغة عربية,Arabic Curriculum specialist
3485,283,3,1,أخصائي مناهج مادة الرياضيات,Mathematics Curriculum Specialist
4,283,3,1,أخصائي مناهج/عربي,Curriculum Specialist Arabic
2889,213,3,1,أخصائي منظمات دولية واقليمية ثالث,3rd International and Regional Organizations Specialist
1314,283,3,1,أخصائي ميدان أول,1st Field Specialist
1312,283,3,1,أخصائي ميدان ثالث,3rd Field Specialist
1313,283,3,1,أخصائي ميدان ثاني,2nd Field Specialist
50305,283,3,1,أخصائي ميداني,أخصائي ميداني
3301,63,,1,أخصائي نظم معلومات,Information Systems Specialist
3278,283,5,2,أخصائي نفسي,Psychiatrist
4301,13,,2,أخصائي هندسي أول,Senior Engineering Specialist
4102,283,3,1,أخصائي هندسي انشائي أول,Senior Structural Engineering Specialist
3960,283,,2,أخصائي هندسي تكييف أول,Senior Air Conditioning Engineering Specialist
4115,283,3,1,أخصائي هندسي حاسب آلي أول,Senior Computer Engineering Specialist
4114,283,3,1,أخصائي هندسي شبكات أول,Senior Networks Engineering Specialist
3962,283,,2,أخصائي هندسي عمارة أول,Senior Architectural Engineering Specialist
4100,283,3,1,أخصائي هندسي كهرباء أول,Senior Electrical Engineering Specialist
3961,283,,2,أخصائي هندسي مدني أول,Senior Civil Engineering Specialist
4113,283,3,1,أخصائي هندسي نظم أول,Senior Systems Engineering Specialist
4116,283,3,1,أخصائي هندسي وسائط متعددة أول,Multimedia Engineering Specialist
2234,223,3,1,أخصائي وثائق,Documents Specialist
2235,223,3,1,أخصائي وثائق أول,Senior Documents Specialist
3384,67,5,2,أخصائي ومنسق بحث علمى,Scientific Research Specialist and Coordinator
3805,63,3,1,أخصائي/مطور برامج ذكاء اصطناعي,Senior BI Developer
3623,283,4,1,أخصائي  توجيه لغة إنجليزية طفولة,Early Childhood English Supervision Specialist
3654,283,4,1,أخصائي  توجيه مسار أدبي,Literary Path Supervision Specialist
3660,283,4,1,أخصائي  توجيه مسار أدبي أول,1st Literary Path Supervision Specialist
2800,283,3,1,أخصائي  شؤون معلمين,Teachers Affairs Specialist
2843,283,3,1,أخصائي  شؤون معلمين أول,Teachers Affairs Specialist 1st
3658,283,4,1,أخصائي  مناهج مهارات حياتية,Curriculum Life Skills Specialist
1799,173,3,1,أستشارى  أعلامي,Media  Consultant
1913,283,3,1,أستشارى  إرشاد وتطوير مهني,Guidance and professional Development Consultant
1754,283,3,1,أستشارى إداري,Administrative Consultant
1785,163,3,1,أستشارى اتصال ومعلومات,Communication and Information Consultant
1925,283,3,1,أستشارى بعثات,Scholarship Consultant
1852,283,3,1,أستشارى تقييم مادة,Subject Evaluation Consultant
1792,163,3,1,أستشارى علاقات عامة,Public Relations Consultant
1899,283,3,1,أستشارى مراكز تعليمية وتدريبية,Educational and Training Centers Consultant
3940,283,3,1,أستشارى مراكز تعليمية وتدريبية اول,Senior Educational and Training Centers Consultant
1892,283,3,1,أستشارى معادلة شهادات,Certificates Equivalency Consultant
2237,223,3,1,أستشارى وثائق,Documents Consultant
3943,283,3,1,أستشارى وثائق اول,Senior Documents Consultant
3515,283,5,1,أستشاري تخطيط برامج تدريبية,Training Programs Planning  Consultant
1973,283,3,1,أستشاري تدريب,Training Consultant
4206,283,3,1,أستشاري تدريب أول,Senior Training Consultant
2282,283,3,1,أستشاري تكنولوجيا معلومات,Information Technology Consultant
2111,74,3,1,أمين مخزن أول,1st Storekeeper
2109,74,3,1,أمين مخزن ثالث,3rd Storekeeper
3804,63,3,1,إداري قواعد بيانات,Database Administrator
2461,113,3,1,إستشاري تعليم تربوي,Pedagogical Education Consultant
2462,113,3,1,إستشاري تقييم,Assessment Consultant
2463,113,3,1,إستشاري تقييم مدارس,Schools Assessment Consultant
2464,113,3,1,إستشاري سياسات وأبحاث,Policies and Researches Consultant
3086,283,3,1,إستشاري شؤون إدارية,Administrative Affairs Consultant
2465,53,3,1,إستشاري عقود,Contracts Consultant
2826,273,3,1,إستشاري موارد بشرية,Human Resources Consultant
4143,273,3,1,إستشاري موارد بشرية أول,Senior Human Resources Consultant
130,13,3,1,اختصاصي دعم فني,Technical Support Specialist
587,283,3,1,اخصائي,Specialist
4918,67,5,1,اخصائي أنشطة,Activities Specialist
2701,283,3,1,اخصائي أول علاج طبيعي,1st Physiotherapist Specialist
3789,283,3,1,اخصائي إسكان أول,First Housing Specialist
4127,283,3,1,اخصائي ارشاد أكاديمي ومهني اول,Senior Academic and Career Counseling Specialist
3126,283,3,1,اخصائي ارشاد وتطوير مهنى اول,1st Guidance and professional Development Specialist
50302,283,3,1,اخصائي التربية الخاصة والتعليم الدامج,اخصائي التربية الخاصة والتعليم الدامج
3248,283,3,1,اخصائي انشطة كشفية,Scout Activities Specialist
3249,283,3,1,اخصائي انشطة كشفية أول,First Scout Activities Specialist
